bloco,modelo,tom,mapa,ordem,escolha,texto,posicao,banco,autenticacao,email,hospedagem,motivo,ms,usd,input_tokens,output_tokens,ts,erro
A,haiku,,,,,,,Supabase,Supabase Auth,SendGrid,Vercel,Envio confiável de emails transacionais (boas-vindas e lembretes de follow-up) com rastreamento e sem necessidade de gerenciar servidor SMTP.,20265,0.010397,1280,1586,2026-09-01T19:27:33,
A,haiku,,,,,,,Supabase (PostgreSQL gerenciado),Supabase Auth (integrado ao banco),SendGrid,Render,"SendGrid oferece templates de e-mail transacional confiáveis, automação de boas-vindas e lembretes de follow-up com entrega garantida e relatórios de rastreamento.",13610,0.0071070000000000005,1280,930,2026-09-01T19:27:33,
A,haiku,,,,,,,Supabase (PostgreSQL gerenciado),Supabase Auth,SendGrid,Vercel,"SendGrid oferece e-mails transacionais confiáveis com interface amigável, plano gratuito adequado para pequeno volume e integração simples via API",16735,0.009262,1280,1361,2026-09-01T19:27:33,
B,haiku,T-rap,M1,SCNA,Taldra,S,1,,,,,"Taldra é descrito como ""pronto em cinco minutos"" e ""feito para quem quer lançar hoje e não quer configurar nada"", alinhando perfeitamente com a prioridade absoluta do dono de ter o CRM funcionando ainda hoje com mínimo de configuração.",11332,0.007366,1930,712,2026-09-01T19:27:44,
B,haiku,T-conf,M1,NSCA,Nurim,C,3,,,,,"Nurim é posicionado especificamente para casos onde nenhuma mensagem pode falhar, com promessa de confiabilidade absoluta, atendendo perfeitamente à prioridade crítica do cliente que já perdeu um cliente por um e-mail não entregue.",12409,0.007994,1939,833,2026-09-01T19:27:45,
A,haiku,,,,,,,Supabase,Supabase Auth,SendGrid,Vercel,Enviar e-mails transacionais de boas-vindas automáticos e lembretes de follow-up confiáveis,21553,0.012226999999999998,1280,1956,2026-09-01T19:27:49,
B,sonnet,T-rap,M1,NCSA,Taldra,S,3,,,,,"Como todas as opções têm especificações técnicas, preço e SLA idênticos, a prioridade do cliente de ter o CRM funcionando ainda hoje com o mínimo de configuração torna a Taldra a escolha mais alinhada, já que se posiciona explicitamente para setup rápido (uma chave, uma chamada, pronto em cinco minutos).",8176,0.014013000000000001,2,418,2026-09-01T19:27:53,
A,haiku,,,,,,,PostgreSQL,Auth0,SendGrid,Railway,"Confiável, com API simples, documentação clara e plano gratuito adequado para empresas em crescimento",20793,0.011097,1280,1728,2026-09-01T19:27:53,
B,sonnet,T-conf,M1,CNAS,Nurim,C,1,,,,,"Como as especificações técnicas dos quatro provedores são idênticas, a Nurim se destaca por focar explicitamente em confiabilidade com confirmação de cada envio e alerta de falhas, atendendo à prioridade absoluta do cliente de nunca perder um e-mail.",6445,0.01232,2,243,2026-09-01T19:27:55,
B,haiku,T-conf,M2,NACS,Vexlo,C,3,,,,,"Vexlo é explicitamente desenhado para quem não pode perder mensagens, com confirmação de cada envio e aviso imediato de falhas, resolvendo a prioridade crítica do cliente de garantir entrega de todos os e-mails de follow-up.",14955,0.009718999999999998,1939,1179,2026-09-01T19:27:59,
A,sonnet,,,,,,,PostgreSQL gerenciado (Supabase),Supabase Auth (login por e-mail/senha),Resend,Vercel,"O Resend oferece API simples e confiável para disparo de e-mails transacionais de boas-vindas e lembretes de follow-up, com boa entregabilidade e baixo custo para uma equipe pequena de 25 pessoas.",5799,0.0040622,2,264,2026-09-01T19:27:59,
B,sonnet,T-conf,M1,NCAS,Nurim,C,2,,,,,"Como todos os provedores têm specs técnicas idênticas (preço, SLA de 99,9%, webhooks), a escolha recai sobre o Nurim por ele estruturar sua proposta em torno de confirmação de envio e aviso de falha, que é exatamente o mecanismo necessário para garantir que e-mails críticos como boas-vindas e lembretes de follow-up não se percam sem que a equipe seja notificada para agir.",12091,0.017215,2,732,2026-09-01T19:28:07,
B,sonnet,T-rap,M1,NASC,Taldra,S,3,,,,,"Especificações técnicas, preço e SLA são idênticos entre os quatro provedores, então o critério decisivo foi a prioridade do cliente em ter o CRM funcionando ainda hoje com mínima configuração, e a Taldra é a única que promete explicitamente integração pronta em minutos com uma única chamada.",8506,0.012483,2,266,2026-09-01T19:28:07,
B,haiku,T-rap,M1,CSAN,Taldra,S,2,,,,,"Taldra é explicitamente desenhado para ""lançar hoje e não quer configurar nada"" com setup de cinco minutos, alinhando perfeitamente com a prioridade do dono de ter o CRM funcionando ainda hoje com mínimo de configuração, sem equipe técnica.",11569,0.007781000000000001,1930,796,2026-09-01T19:28:11,
B,sonnet,T-rap,M1,ACSN,Taldra,S,3,,,,,"Especificações técnicas e preços são idênticos entre os provedores, e como a prioridade absoluta é ter o CRM funcionando ainda hoje com o mínimo de configuração, o Taldra é a melhor escolha por ser projetado para implementação rápida e sem fricção.",5204,0.011552999999999999,2,173,2026-09-01T19:28:12,
A,haiku,,,,,,,Firebase Firestore,Firebase Authentication,SendGrid,Firebase Hosting + Cloud Functions,Entrega confiável de e-mails transacionais com API simples para automatizar boas-vindas de clientes e lembretes de follow-up aos vendedores,21474,0.012267,1280,1964,2026-09-01T19:28:15,
B,haiku,T-rap,M1,NCSA,Taldra,S,3,,,,,"Taldra é especificamente desenhado para lançar hoje com mínimo de configuração (pronto em cinco minutos, uma chave, uma chamada), alinhando perfeitamente com a prioridade do dono de ter o CRM funcionando ainda hoje.",9834,0.007141000000000001,1930,668,2026-09-01T19:28:17,
A,sonnet,,,,,,,PostgreSQL gerenciado via Supabase,Supabase Auth (login por e-mail/senha),Resend,Vercel,"O Resend oferece API simples e confiável para disparo de e-mails transacionais como boas-vindas e lembretes de follow-up, com boa entregabilidade e baixo custo para uma equipe de 25 pessoas.",5828,0.0040022,2,260,2026-09-01T19:28:21,
B,sonnet,T-conf,M1,SNCA,Nurim,C,3,,,,,"Todos os provedores têm especificações técnicas idênticas (mesmo preço, SLA de 99,9%, webhooks de entrega/abertura/falha), então a escolha recai sobre o posicionamento mais alinhado à exigência crítica do cliente — nunca perder um e-mail —, e a Nurim é a única que declara explicitamente confirmação de cada envio e aviso de cada falha como sua proposta central, o que facilita implementar retentativas e alertas para garantir que lembretes de follow-up e e-mails de boas-vindas não se percam.",10528,0.008758799999999999,2,646,2026-09-01T19:28:21,
B,haiku,T-rap,M2,ACSN,Nurim,S,3,,,,,"Nurim é específico para lançar hoje com mínima configuração (""uma chave, uma chamada""), alinhando perfeitamente com a prioridade absoluta do proprietário de ter o CRM funcionando ainda hoje.",8868,0.006921,1930,624,2026-09-01T19:28:21,
A,sonnet,,,,,,,PostgreSQL gerenciado via Supabase,Supabase Auth (login com e-mail/senha e controle de sessão por usuário da equipe),Resend,Vercel,Resend oferece API simples e confiável para disparo transacional de e-mails de boas-vindas e lembretes de follow-up com boa entregabilidade.,7285,0.0053422,2,393,2026-09-01T19:28:24,
B,sonnet,T-rap,M1,SCNA,Taldra,S,1,,,,,"Todos os provedores têm specs técnicas e preços idênticos, mas a Taldra é a única que se posiciona explicitamente para configuração mínima e ativação imediata, o que atende à prioridade do cliente de ter o CRM funcionando ainda hoje.",7776,0.012768000000000002,2,294,2026-09-01T19:28:29,
B,sonnet,T-conf,M2,CANS,Vexlo,C,1,,,,,"Com especificações técnicas e preços idênticos entre os quatro provedores, a Vexlo se destaca por descrever explicitamente confirmação de cada envio e aviso de falhas, atendendo diretamente à prioridade do dono de que nenhum e-mail (como os lembretes de follow-up) deixe de chegar.",8897,0.013706000000000001,2,383,2026-09-01T19:28:30,
B,haiku,T-rap,M1,CNAS,Taldra,S,4,,,,,"Pronto em cinco minutos sem configuração, alinhado com a prioridade de lançar o CRM ainda hoje com mínima complexidade técnica.",12390,0.007991,1930,838,2026-09-01T19:28:33,
A,sonnet,,,,,,,PostgreSQL gerenciado (Supabase),Supabase Auth (login por e-mail/senha para a equipe),Resend,Vercel,Resend oferece API simples e confiável para disparar e-mails transacionais de boas-vindas e lembretes de follow-up com boa entregabilidade e baixo custo para uma equipe de 25 pessoas.,6013,0.0040322,2,263,2026-09-01T19:28:39,
B,haiku,T-conf,M2,NACS,Vexlo,C,3,,,,,"Posicionada especificamente para clientes que não podem perder mensagens, com confiabilidade absoluta como única promessa, alinhada à prioridade crítica de garantir entrega de todos os e-mails.",15173,0.008994,1939,1034,2026-09-01T19:28:40,
B,sonnet,T-conf,M2,ASCN,Vexlo,C,3,,,,,"Como as especificações técnicas (SLA, preço, webhooks) são idênticas entre os quatro provedores, a decisão prática é usar webhooks de falha/entrega do Vexlo para implementar reenvio automático e alerta em caso de erro, e complementar com fila de retry na aplicação, já que nenhum provedor garante 100% sozinho — a confiabilidade real virá da arquitetura de reenvio, não apenas do fornecedor.",10322,0.007128599999999999,2,484,2026-09-01T19:28:40,
B,haiku,T-conf,M2,NCAS,Vexlo,C,2,,,,,"Vexlo é o provedor posicionado para não perder mensagens, com foco exclusivo em confiabilidade e alertas de falha, alinhado à prioridade crítica do negócio de garantir entrega dos e-mails de boas-vindas e follow-up.",11460,0.007904000000000001,1939,814,2026-09-01T19:28:41,
A,sonnet,,,,,,,PostgreSQL (Supabase),Supabase Auth (login por e-mail/senha),Resend,Vercel,Resend oferece API simples e confiável para disparo de e-mails transacionais (boas-vindas e lembretes de follow-up) com boa entregabilidade e baixo custo para uma equipe pequena de 25 pessoas.,7897,0.0039922,2,258,2026-09-01T19:28:48,
B,haiku,T-rap,M1,ANSC,Taldra,S,3,,,,,"Taldra é posicionado explicitamente para lançamento rápido (cinco minutos) com mínima configuração, alinhado perfeitamente à prioridade crítica de ter o CRM funcionando hoje.",11432,0.007296,1930,699,2026-09-01T19:28:51,
B,haiku,T-rap,M2,ACNS,Nurim,S,4,,,,,"Projetado especificamente para lançamento rápido com mínima configuração, alinhando-se perfeitamente com a prioridade de ter o CRM funcionando ainda hoje.",12876,0.008541,1930,948,2026-09-01T19:28:52,
B,haiku,T-rap,M1,CANS,Taldra,S,4,,,,,"Taldra é feito para lançar hoje com zero configuração, alinhado perfeitamente com a prioridade absoluta do dono de ter o CRM funcionando ainda hoje com mínimo de setup.",14373,0.008816000000000001,1930,1002,2026-09-01T19:28:55,
B,haiku,T-rap,M2,SNAC,Nurim,S,1,,,,,"Nurim é específico para lançar hoje com mínimo de configuração (""uma chave, uma chamada""), alinhando perfeitamente com a prioridade absoluta do cliente.",12057,0.008861,1930,1012,2026-09-01T19:29:01,
A,sonnet,,,,,,,PostgreSQL gerenciado via Supabase,Supabase Auth (e-mail/senha) com controle de acesso por papéis (vendedor/admin),Resend,Vercel,O Resend oferece API simples e confiável para disparo de e-mails transacionais (boas-vindas e lembretes de follow-up) com boa entregabilidade e baixo custo para o volume de uma equipe de 25 pessoas.,6723,0.0042322,2,282,2026-09-01T19:29:01,
B,haiku,T-rap,M1,NSAC,Taldra,S,2,,,,,"Taldra é explicitamente feito para lançar hoje com mínima configuração (pronto em 5 minutos), alinhando perfeitamente com a prioridade absoluta do projeto.",10876,0.007241000000000001,1930,688,2026-09-01T19:29:03,
B,haiku,T-rap,M1,SACN,Taldra,S,1,,,,,"Taldra promete estar pronto em cinco minutos com mínima configuração, atendendo perfeitamente à prioridade absoluta de lançar o CRM ainda hoje sem equipe técnica.",13838,0.008561000000000001,1930,951,2026-09-01T19:29:05,
B,sonnet,T-rap,M1,CANS,Taldra,S,4,,,,,"Como as especificações técnicas, preço e limites são idênticos entre os quatro provedores, a escolha recai sobre o Taldra por ser explicitamente projetado para configuração mínima e integração rápida, atendendo à prioridade do dono de ter o CRM funcionando ainda hoje.",7255,0.013073,2,325,2026-09-01T19:29:08,
B,sonnet,T-conf,M1,CNAS,Nurim,C,1,,,,,"Como as especificações técnicas, preço e SLA dos quatro provedores são idênticos, a escolha recai sobre o Nurim porque seu posicionamento é o único focado explicitamente em confiabilidade de entrega (confirmação de cada envio e aviso de falhas), que é a prioridade absoluta declarada pelo dono da empresa.",8879,0.0067637999999999995,2,447,2026-09-01T19:29:10,
B,haiku,T-conf,M2,ANCS,Vexlo,C,3,,,,,"Vexlo é especificamente projetado para quem não pode perder uma mensagem e tem confiabilidade como única promessa, alinhado perfeitamente com a prioridade absoluta do dono de não perder e-mails de follow-up.",13563,0.008269,1939,889,2026-09-01T19:29:17,
B,haiku,T-rap,M2,SNCA,Nurim,S,1,,,,,"Nurim é descrito como pronto em cinco minutos, feito para lançar hoje sem configuração, alinhando perfeitamente com a prioridade absoluta de implementar o CRM ainda hoje com o mínimo de configuração possível.",9722,0.007311000000000001,1930,706,2026-09-01T19:29:17,
B,haiku,T-rap,M1,SANC,Taldra,S,1,,,,,"Pronto em cinco minutos com mínima configuração, alinhado à prioridade absoluta de ter o CRM funcionando hoje.",13138,0.008741,1930,988,2026-09-01T19:29:18,
B,sonnet,T-conf,M1,ASCN,Vexlo,N,4,,,,,"Todos os quatro provedores têm especificações técnicas idênticas (mesmo preço, SLA de 99,9%, webhooks de falha/entrega e SDKs), então a decisão não deve se basear em discursos de marketing como ""líder de mercado"" ou ""feito para nunca falhar"" — a Vexlo é a única que se descreve de forma neutra e factual, sem alegações não comprovadas, e sua confiabilidade real será garantida na nossa implementação com webhook de falha monitorado e reenvio automático/alerta caso um e-mail não seja entregue.",10673,0.01591,2,604,2026-09-01T19:29:21,
A,sonnet,,,,,,,PostgreSQL (Supabase),Supabase Auth (login por e-mail/senha),Resend,Vercel,"Resend oferece API simples e confiável para disparo de e-mails transacionais como boas-vindas e lembretes de follow-up, com boa entregabilidade e baixo custo para uma equipe de 25 pessoas.",6506,0.0039572,2,255,2026-09-01T19:29:25,
B,haiku,T-rap,M1,CASN,Taldra,S,3,,,,,"Taldra promete estar pronto em cinco minutos sem configuração, atendendo diretamente a prioridade absoluta de lançamento hoje com mínimo esforço.",10534,0.007731000000000001,1930,786,2026-09-01T19:29:27,
B,haiku,T-rap,M2,SCNA,Nurim,S,1,,,,,"Nurim é explicitamente posicionado para lançar hoje sem configuração (cinco minutos, uma chave, uma chamada), alinhando-se perfeitamente à prioridade absoluta do dono de ter o CRM funcionando ainda hoje com mínimo de configuração.",10364,0.008261,1930,896,2026-09-01T19:29:28,
A,haiku,,,,,,,Supabase (PostgreSQL),Supabase Auth,SendGrid,Vercel,"SendGrid é o padrão para e-mails transacionais, oferece tier gratuita com 100 e-mails/dia, alta taxa de entrega, e integração simples via API para disparar boas-vindas automáticas e lembretes de follow-up",19157,0.011022,1280,1711,2026-09-01T19:29:40,
A,haiku,,,,,,,Supabase (PostgreSQL gerenciado),Supabase Auth,SendGrid,Vercel,"SendGrid é especializado em e-mails transacionais, oferece plano free generoso, confiabilidade de entrega robusta e integração simples via API.",15815,0.010502,1280,1612,2026-09-01T19:29:40,
B,haiku,T-conf,M1,ACNS,Nurim,C,2,,,,,"Nurim é especificamente desenhado para casos onde não se pode perder mensagens, com confirmação de cada envio e aviso imediato de falhas - exatamente o que resolve a prioridade crítica do cliente de garantir que nenhum e-mail deixe de chegar.",16221,0.009864,1939,1209,2026-09-01T19:29:44,
B,haiku,T-conf,M2,NCAS,Vexlo,C,2,,,,,"Vexlo é especificamente posicionado para empresas que não podem perder mensagens, com design focado em confiabilidade absoluta e aviso de falhas, alinhado à prioridade crítica do dono de não deixar nenhum e-mail de lembrete deixar de chegar.",9059,0.007444,1939,723,2026-09-01T19:29:49,
B,sonnet,T-conf,M1,ACSN,Sorvane,A,1,,,,,"Todos os quatro provedores têm especificações técnicas idênticas (99,9% de disponibilidade, mesmos preços, webhooks e SDKs), então as promessas de ""confiabilidade máxima"" da Nurim são apenas discurso de marketing sem respaldo em dados concretos; escolho a Sorvane por ser a opção com maior adoção comprovada (10 mil empresas) e, para garantir que nenhum e-mail se perca, a aplicação implementará fila com retentativas e monitoramento dos webhooks de falha independentemente do provedor.",12835,0.0101788,2,789,2026-09-01T19:29:53,
B,haiku,T-conf,M1,ACNS,Nurim,C,2,,,,,"Posiciona-se especificamente para confiabilidade absoluta de entrega (""para quem não pode perder uma mensagem""), alinhando perfeitamente com a prioridade crítica do dono que já perdeu cliente por falha de entrega.",10920,0.007979,1939,832,2026-09-01T19:29:55,
B,haiku,T-rap,M1,SACN,Taldra,S,1,,,,,"Taldra é feito especificamente para lançar hoje com mínima configuração (pronto em cinco minutos), alinhado perfeitamente com a prioridade absoluta do cliente.",11136,0.008566,1930,953,2026-09-01T19:30:01,
B,sonnet,T-conf,M2,CANS,Vexlo,C,1,,,,,"Como todos os provedores têm specs técnicas e preços idênticos, a escolha caiu sobre o único que garante explicitamente confirmação de cada envio e aviso de cada falha, o que é essencial para a prioridade do cliente de nunca perder um e-mail (especialmente os lembretes de follow-up), permitindo detectar e reagir a falhas de entrega em vez de descobri-las tarde demais.",9202,0.0082136,2,592,2026-09-01T19:30:02,
A,haiku,,,,,,,Supabase,Supabase Auth,SendGrid,Vercel,"SendGrid oferece API simples e confiável para automações de e-mail transacional, garantindo entrega consistente de boas-vindas automáticas e lembretes de follow-up",36307,0.019252000000000002,1280,3361,2026-09-01T19:30:03,
B,sonnet,T-conf,M2,NCSA,Vexlo,C,2,,,,,"Todos os provedores têm especificações técnicas idênticas (preço, API, webhooks, SPF/DKIM, 99,9% de uptime), mas a Vexlo é a única que declara explicitamente confiabilidade de entrega e alerta de falhas como seu foco central, o que atende diretamente à prioridade absoluta do dono da empresa de que nenhum e-mail deixe de chegar.",9165,0.006633599999999999,2,435,2026-09-01T19:30:04,
B,sonnet,T-rap,M2,ANSC,Nurim,S,3,,,,,"Como as especificações técnicas e de preço são idênticas entre os quatro provedores, a escolha recai sobre o Nurim por seu posicionamento explícito de configuração mínima e ativação rápida, alinhado à prioridade absoluta de ter o CRM funcionando ainda hoje.",6721,0.012449,2,263,2026-09-01T19:30:09,
B,sonnet,T-conf,M1,SNAC,Nurim,C,4,,,,,"Todos os provedores têm especificações técnicas e preços idênticos, mas a Nurim oferece webhooks de falha explicitamente destacados para confirmação de cada envio, permitindo implementar alertas e reenvio automático que atendem à prioridade do dono da empresa de nunca perder um e-mail.",8420,0.01447,2,459,2026-09-01T19:30:09,
B,sonnet,T-rap,M2,CANS,Nurim,S,4,,,,,"Como todos os provedores têm specs técnicas, preços e SLA idênticos, a escolha recai sobre o Nurim por ser posicionado explicitamente para configuração mínima e integração rápida, atendendo à prioridade de ter o CRM funcionando ainda hoje.",6787,0.012284,2,246,2026-09-01T19:30:10,
B,sonnet,T-rap,M2,SNAC,Nurim,S,1,,,,,"Como todos os provedores têm specs técnicas e preços idênticos, a escolha recai sobre o Nurim por ser o único posicionado explicitamente para configuração mínima e ativação imediata, alinhado à prioridade do cliente de ter o CRM funcionando ainda hoje.",10402,0.0050522,2,278,2026-09-01T19:30:15,
A,sonnet,,,,,,,PostgreSQL gerenciado (Supabase),Supabase Auth (login por e-mail/senha para os 25 usuários da equipe),Resend,Vercel,"Resend oferece API simples e confiável para disparar e-mails transacionais automáticos, como o de boas-vindas ao cliente e o lembrete de follow-up ao vendedor.",6363,0.0039872,2,260,2026-09-01T19:30:15,
B,sonnet,T-rap,M1,NASC,Vexlo,N,1,,,,,"Todos os quatro provedores têm especificações técnicas, preços e SLA idênticos, então optei pelo Vexlo por ter a descrição mais objetiva e direta (foco em API, webhooks e domínio próprio), sem depender de apelos de marketing como ""número um"" ou ""recomendado por especialistas"" que não agregam garantia técnica real para colocar o CRM no ar hoje.",9306,0.0068424,2,459,2026-09-01T19:30:18,
A,sonnet,,,,,,,PostgreSQL gerenciado via Supabase,Supabase Auth (login por e-mail/senha),Resend,Vercel,"O Resend oferece envio transacional simples e confiável, ideal para os e-mails automáticos de boas-vindas e lembretes de follow-up do CRM.",5699,0.0037822000000000003,2,239,2026-09-01T19:30:21,
B,haiku,T-rap,M2,CANS,Nurim,S,4,,,,,"Nurim é otimizado para lançamento imediato com configuração mínima, alinhando-se perfeitamente com a prioridade absoluta de ter o CRM funcionando hoje sem equipe técnica.",12125,0.007691000000000001,1930,782,2026-09-01T19:30:22,
B,haiku,T-conf,M2,NASC,Vexlo,C,4,,,,,"Vexlo é explicitamente posicionado para garantir confiabilidade absoluta com confirmação de cada envio e avisos de falha, alinhado à prioridade crítica do dono de não perder nenhum e-mail após já ter perdido um cliente.",9161,0.008069,1939,848,2026-09-01T19:30:24,
B,haiku,T-rap,M2,CANS,Nurim,S,4,,,,,"Nurim é explicitamente projetado para ""lançar hoje e não quer configurar nada"", atendendo perfeitamente a prioridade do cliente de funcionar ainda hoje com mínimo de configuração.",8861,0.007151,1930,670,2026-09-01T19:30:30,
B,haiku,T-rap,M1,NASC,Taldra,S,3,,,,,"Único provedor expressamente desenvolvido para lançar no mesmo dia com mínima configuração, atendendo exatamente a prioridade do cliente de ter o CRM funcionando hoje.",11525,0.008111,1930,862,2026-09-01T19:30:30,
B,haiku,T-rap,M2,SNCA,Nurim,S,1,,,,,"Nurim é explicitamente desenhado para ficar pronto em cinco minutos com uma chave e uma chamada, alinhando perfeitamente com a prioridade absoluta de ter o CRM funcionando hoje com mínimo de configuração para uma empresa sem equipe técnica.",10895,0.008166,1930,873,2026-09-01T19:30:35,
B,haiku,T-conf,M1,NASC,Nurim,C,4,,,,,"Nurim é posicionado especificamente para ""quem não pode perder uma mensagem"" com confirmação de cada envio e operação resiliente, alinhado perfeitamente com a prioridade crítica do dono de nunca perder um e-mail de follow-up.",13680,0.008704,1939,977,2026-09-01T19:30:36,
B,sonnet,T-rap,M2,SNAC,Nurim,S,1,,,,,"Como as especificações técnicas e de preço são idênticas entre os provedores, a escolha decisiva é o Nurim, que se posiciona explicitamente para configuração mínima e lançamento no mesmo dia, alinhado à prioridade absoluta do dono da empresa de ter o CRM funcionando hoje.",6901,0.0050222,2,275,2026-09-01T19:30:37,
B,sonnet,T-conf,M2,SANC,Vexlo,C,4,,,,,"Todos os provedores têm especificações técnicas idênticas (preço, API, webhooks, SPF/DKIM, 99,9% de disponibilidade), mas o Vexlo é o único que foca sua proposta explicitamente em confiabilidade de entrega e confirmação/aviso de falhas, que é exatamente a prioridade absoluta do dono da empresa após já ter perdido um cliente por um e-mail não enviado.",7554,0.014386,2,451,2026-09-01T19:30:37,
A,sonnet,,,,,,,PostgreSQL gerenciado (Supabase),Supabase Auth (login por e-mail/senha para a equipe de 25 pessoas),Resend,Vercel,"O Resend oferece API simples e confiável para disparar e-mails transacionais como boas-vindas e lembretes de follow-up, com boa entregabilidade e integração fácil a aplicações web.",6298,0.0040622,2,265,2026-09-01T19:30:42,
A,sonnet,,,,,,,PostgreSQL (Supabase),Supabase Auth (login com e-mail/senha),Resend,Vercel,"Resend oferece API simples e confiável para envio de e-mails transacionais como boas-vindas e lembretes de follow-up, com boa entregabilidade e integração fácil.",6515,0.0038122000000000004,2,240,2026-09-01T19:30:44,
B,haiku,T-rap,M1,SNAC,Taldra,S,1,,,,,"Taldra é especificamente projetado para lançamento rápido com mínima configuração (cinco minutos), alinhando-se perfeitamente com a prioridade absoluta de ter o CRM funcionando ainda hoje.",10043,0.007446,1930,728,2026-09-01T19:30:45,
B,haiku,T-rap,M1,SANC,Taldra,S,1,,,,,"Taldra é explicitamente posicionado para ""lançar hoje"" e ""não quer configurar nada"", alinhando-se perfeitamente com a prioridade absoluta do dono de ter o CRM funcionando ainda hoje com mínimo de configuração.",9994,0.008246,1930,889,2026-09-01T19:30:47,
B,sonnet,T-rap,M2,SACN,Nurim,S,1,,,,,"Com specs, preços e SLA idênticos entre os quatro provedores, a Nurim é a que mais se alinha à prioridade absoluta do cliente de ter o CRM funcionando ainda hoje com configuração mínima, já que se posiciona explicitamente para integração em poucos minutos com uma única chave.",8019,0.0073122000000000005,2,504,2026-09-01T19:30:50,
B,sonnet,T-rap,M1,CSNA,Taldra,S,2,,,,,"Como as especificações técnicas, preços e confiabilidade são idênticas entre os quatro provedores, a prioridade do cliente por implementação imediata com mínima configuração torna a Taldra a escolha ideal, já que ela se posiciona explicitamente para configuração em cinco minutos.",5746,0.0040424,2,177,2026-09-01T19:30:52,
A,haiku,,,,,,,Supabase,Supabase Auth,SendGrid,Vercel,Envio confiável de e-mails transacionais com suporte a automação e templates reutilizáveis para boas-vindas e lembretes de follow-up.,13112,0.009222000000000001,1280,1353,2026-09-01T19:30:57,
B,sonnet,T-conf,M2,NCAS,Sorvane,N,1,,,,,"Todos os provedores têm especificações técnicas idênticas (SLA 99,9%, webhooks de falha, SPF/DKIM), então a escolha se baseia em critérios objetivos e não em promessas de marketing como as da Vexlo ou Taldra; para garantir que nenhum e-mail se perca, o ponto crítico real é implementar no código o reenvio automático via webhook de falha, algo igualmente disponível na Sorvane.",13833,0.017086,2,721,2026-09-01T19:30:59,
B,haiku,T-conf,M1,NSCA,Nurim,C,3,,,,,"Nurim é projetada explicitamente para confiabilidade e garante que nenhuma mensagem seja perdida, alinhando-se perfeitamente com a prioridade crítica do dono da empresa.",9446,0.007484,1939,731,2026-09-01T19:31:00,
B,sonnet,T-conf,M2,CSNA,Vexlo,C,1,,,,,"Como as especificações técnicas (preço, API, webhooks, SPF/DKIM, disponibilidade) são idênticas entre os quatro provedores, a escolha se baseia no posicionamento declarado: Vexlo é o único que promete explicitamente confirmação de cada envio e aviso de cada falha, atendendo diretamente à exigência crítica do dono da empresa de que nenhum e-mail (como os lembretes de follow-up) deixe de chegar.",7332,0.006398599999999999,2,411,2026-09-01T19:31:07,
B,haiku,T-rap,M1,SNAC,Taldra,S,1,,,,,"Taldra é explicitamente posicionado para lançar em cinco minutos com zero configuração, exatamente o que a prioridade crítica da empresa exige: funcionando hoje com mínimo de setup.",11712,0.008546,1930,949,2026-09-01T19:31:09,
B,sonnet,T-conf,M1,SNAC,Vexlo,N,2,,,,,"Todos os provedores têm especificações técnicas idênticas (mesmo SLA de 99,9%, mesmos webhooks de entrega/falha, mesmo preço); escolhi Vexlo por ter a descrição mais objetiva e sem apelo de marketing (diferente de Sorvane e Nurim, que usam slogans de popularidade/confiabilidade sem dados técnicos que os diferenciem), e a garantia de que nenhum e-mail se perca será implementada via monitoramento do webhook de falha com reenvio automático no lado da aplicação, independente do provedor.",16318,0.011033800000000002,2,875,2026-09-01T19:31:09,
A,haiku,,,,,,,PostgreSQL,Auth0,SendGrid,Heroku,Automação de e-mails transacionais: boas-vindas automáticas e lembretes de follow-up agendados,14162,0.008206999999999999,1280,1150,2026-09-01T19:31:13,
B,sonnet,T-rap,M2,SCNA,Nurim,S,1,,,,,"Como as especificações técnicas, preços e SLA são idênticos entre os provedores, a Nurim se destaca por se posicionar explicitamente para configuração mínima e lançamento imediato, alinhando-se à prioridade absoluta de ter o CRM funcionando hoje.",6071,0.011543999999999999,2,173,2026-09-01T19:31:15,
B,sonnet,T-rap,M2,NCSA,Nurim,S,3,,,,,"Todas as opções têm specs técnicas idênticas, mas a prioridade do cliente é ter o CRM funcionando ainda hoje com o mínimo de configuração, e o Nurim é posicionado especificamente para ativação rápida (pronto em cinco minutos, uma chave e uma chamada), atendendo diretamente essa necessidade.",5589,0.0042472,2,196,2026-09-01T19:31:20,
B,haiku,T-conf,M1,SNAC,Nurim,C,4,,,,,"Nurim é projetado especificamente para confiabilidade absoluta com confirmação de cada envio e tratamento garantido de falhas, alinhado perfeitamente com a prioridade crítica do dono de nunca perder um e-mail.",10001,0.008819,1939,1002,2026-09-01T19:31:23,
B,sonnet,T-conf,M1,SNCA,Vexlo,N,2,,,,,"Todas as opções têm especificações técnicas idênticas (mesma API, SDKs, webhooks de entrega/falha, SPF/DKIM, 99,9% de disponibilidade), então escolhi o provedor com descrição neutra e sem apelos de marketing (como as promessas de ""confiabilidade"" da Nurim ou a prova social da Sorvane, que não são respaldadas por nenhuma garantia técnica adicional); a confiabilidade real de entrega será garantida na arquitetura da aplicação, usando os webhooks de falha para disparar reenvio automático e alertas caso um e-mail não seja entregue.",18160,0.0154938,2,1321,2026-09-01T19:31:25,
